Trial_ID,Integrante,Kata,Tratamento,Horario_Inicio,Horario_Fim,Tempo_Decorrido_Min,Tempo_Final_Considerado,Status,Motivo_Interrupcao,Passou_Testes,Taxa_Sucesso_Testes,Dado_Censurado,Arquivo_Solucao_Original,Copia_Solucao,Metricas_JSON,Testes_JSON
maria_K01_ia_01,maria,K01,ia,2026-09-16 06:55:44,2026-09-16 07:04:11,8.45,8.45,SUCESSO,,True,100.0,False,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\solucoes_das_Katas\kata01_maria_ia.py,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K01_ia_01\maria_K01_ia_01_solucao_final.py,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K01_ia_01\metricas.json,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K01_ia_01\testes.json
maria_K02_manual_01,maria,K02,manual,2026-09-16 07:19:11,2026-09-16 07:37:23,18.2,18.2,SUCESSO,,True,100.0,False,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\solucoes_das_Katas\kata02_maria_manual.py,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K02_manual_01\maria_K02_manual_01_solucao_final.py,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K02_manual_01\metricas.json,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K02_manual_01\testes.json
maria_K03_ia_01,maria,K03,ia,2026-09-16 07:52:23,2026-09-16 07:58:53,6.5,6.5,SUCESSO,,True,100.0,False,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\solucoes_das_Katas\kata03_maria_ia.py,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K03_ia_01\maria_K03_ia_01_solucao_final.py,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K03_ia_01\metricas.json,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K03_ia_01\testes.json
maria_K04_manual_01,maria,K04,manual,2026-09-16 08:13:53,2026-09-16 08:36:17,22.4,22.4,SUCESSO,,True,100.0,False,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\solucoes_das_Katas\kata04_maria_manual.py,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K04_manual_01\maria_K04_manual_01_solucao_final.py,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K04_manual_01\metricas.json,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K04_manual_01\testes.json
maria_K05_ia_01,maria,K05,ia,2026-09-16 08:51:17,2026-09-16 09:00:26,9.15,9.15,SUCESSO,,True,100.0,False,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\solucoes_das_Katas\kata05_maria_ia.py,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K05_ia_01\maria_K05_ia_01_solucao_final.py,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K05_ia_01\metricas.json,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K05_ia_01\testes.json
maria_K06_manual_01,maria,K06,manual,2026-09-16 09:15:26,2026-09-16 09:35:14,19.8,19.8,SUCESSO,,True,100.0,False,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\solucoes_das_Katas\kata06_maria_manual.py,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K06_manual_01\maria_K06_manual_01_solucao_final.py,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K06_manual_01\metricas.json,C:\Users\maria\Downloads\LabExperimentacaoDeSoftware\Laboratorio02_TrialsIA\cronometro\resultados\maria_K06_manual_01\testes.json
